ukrajinet-1-n	['аберація', 'спотворення']	[[['i35795', 'i98093', 'i97598'], [' помилка у викривленні фактів', ' зміна (зазвичай небажана) форми хвилі акустичного або аналогового електричного сигналу', ' оптичне явище, що виникає через нездатність лінзи або дзеркала створювати якісне зображення'], ['distortion: the mistake of misrepresenting the facts', 'distortion: a change (usually undesired) in the waveform of an acoustic or analog electrical signal', 'distortion: an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']]]
ukrajinet-3-n	['абразив', 'матеріал абразивний', 'речовиння абразивне']	[[['i114804', 'i49771'], [' речовина, яка стирає або зношує', ' інструмент або машина, що використовується для зношування, згладжування або полірування'], ['abrasive: a substance that abrades or wears down', 'abradant: a tool or machine used for wearing down or smoothing or polishing']]]
ukrajinet-9-v	['абсорбувати', 'поглинати']	[[['i29556', 'i35508', 'i29641', 'i29633', 'i29071', 'i29430', 'i24771'], [' споживати', ' всмоктувати або вбирати в себе або всередину', ' охоплювати або обволікати повністю, ніби ковтати', ' перетікати або повністю покривати', ' засвоювати або приймати всередину', ' перейматися', ' сприймати подумки'], ['devour: to consume', 'absorb: suck or take up or in', 'eat up: enclose or envelop completely, as if by swallowing', 'engulf: flow over or cover completely', 'absorb: assimilate or take in', 'absorb: become imbued', 'absorb: take up mentally']]]
ukrajinet-11-n	['абсорбція', 'поглинання']	[[['i39559', 'i66886'], [' зміна шляхом продажу або злиття контрольного пакету акцій корпорації', ' повна увага'], ['takeover: a change by sale or merger in the controlling interest of a corporation', 'absorption: complete attention']]]
ukrajinet-15-n	['аварія', 'полам', 'лихота', 'лиховина']	[[['i29541', 'i31591', 'i31834', 'i75060'], [' розбитися з силою або шумом', ' падіння або сильне падіння з висоти', ' вхід без запрошення', ' серйозна дорожньо-транспортна пригода (зазвичай за участю одного або декількох транспортних засобів)'], ['crash: break violently or noisily', 'crash: fall or come down violently', 'crash: enter uninvited', 'crash: a serious accident (usually involving one or more vehicles)']]]
ukrajinet-64-n	['акорд', 'співзвуччя']	[[['i61821', 'i72589'], [' симпатична сумісність', ' поєднання трьох і більше нот, які гармонійно поєднуються при спільному звучанні'], ['accord: sympathetic compatibility', 'chord: a combination of three or more notes that blend harmoniously when sounded together']]]
ukrajinet-91-n	['амортизація', 'тамування']	[[['i106748', 'i37328'], [' зменшення вартості активу через застарівання або використання', ' зменшення ціни або вартості'], ['depreciation: decrease in value of an asset due to obsolescence or use', 'depreciation: a decrease in price or value']]]
ukrajinet-115-n	['ансамбль', 'збірнота']	[[['i80184', 'i80410', 'i80179', 'i79117'], [' хор балетної трупи', ' склад, відмінний від основного складу', ' група музикантів, які грають або співають разом', ' сукупність частин або деталей (як у творі мистецтва), які розглядаються як єдине ціле'], ['ensemble: the chorus of a ballet company', 'ensemble: a cast other than the principals', 'ensemble: a group of musicians playing or singing together', 'ensemble: an assemblage of parts or details (as in a work of art) considered as forming a whole']]]
ukrajinet-121-n	['апарат']	[[['i50097', 'i64390'], [' обладнання, призначене для виконання певної функції', ' (анатомія) група частин тіла, які працюють разом для виконання певної функції'], ['apparatus: equipment designed to serve a specific function', 'apparatus: (anatomy) a group of body parts that work together to perform a given function']]]
ukrajinet-139-n	['аромат', 'запах']	[[['i63173', 'i21987', 'i66948', 'i63172'], [' приємно солодкий запах', ' нанесіть парфуми на', ' смакові відчуття, які виникають під час потрапляння пікантної приправи до рота', ' будь-яка властивість, що виявляється нюховою системою'], ['fragrancy: a pleasingly sweet olfactory property', 'scent: apply perfume to', 'flavor: the taste experience when a savoury condiment is taken into the mouth', 'aroma: any property detected by the olfactory system']], [['i66943'], [' характерний запах, який є приємним'], ['scent: a distinctive odor that is pleasant']]]
